file,date,latitude,longitude,ocean,profiler_type,institution,date_update,parsed_date,download_url
aoml/5906273/profiles/D5906273_162.nc,20250108094348,-13.94,96.262,I,846,AO,20250429102331,2025-01-08 09:43:48,https://data-argo.ifremer.fr/dac/aoml/5906273/profiles/D5906273_162.nc
aoml/1902196/profiles/R1902196_237.nc,20241212182711,-2.566,65.644,I,863,AO,20250513165001,2024-12-12 18:27:11,https://data-argo.ifremer.fr/dac/aoml/1902196/profiles/R1902196_237.nc
incois/1902673/profiles/D1902673_042.nc,20241209140525,12.8,69.367,I,844,IN,20250526151520,2024-12-09 14:05:25,https://data-argo.ifremer.fr/dac/incois/1902673/profiles/D1902673_042.nc
coriolis/6903141/profiles/R6903141_298.nc,20250129203630,23.717,59.719,I,844,IF,20250524113056,2025-01-29 20:36:30,https://data-argo.ifremer.fr/dac/coriolis/6903141/profiles/R6903141_298.nc
csiro/5905211/profiles/R5905211_256.nc,20241112024134,-13.812,105.775,I,869,CS,20241112093436,2024-11-12 02:41:34,https://data-argo.ifremer.fr/dac/csiro/5905211/profiles/R5905211_256.nc
aoml/5906273/profiles/R5906273_173.nc,20250428002042,-14.271,93.946,I,846,AO,20250804184506,2025-04-28 00:20:42,https://data-argo.ifremer.fr/dac/aoml/5906273/profiles/R5906273_173.nc
coriolis/1902572/profiles/R1902572_099.nc,20250603114940,-14.179,53.338,I,878,IF,20250603122950,2025-06-03 11:49:40,https://data-argo.ifremer.fr/dac/coriolis/1902572/profiles/R1902572_099.nc
csiro/1901766/profiles/R1901766_073.nc,20250809094020,-15.697,75.251,I,844,CS,20250809114715,2025-08-09 09:40:20,https://data-argo.ifremer.fr/dac/csiro/1901766/profiles/R1901766_073.nc
aoml/5904941/profiles/R5904941_279.nc,20241009234851,-8.157,87.022,I,863,AO,20241010020033,2024-10-09 23:48:51,https://data-argo.ifremer.fr/dac/aoml/5904941/profiles/R5904941_279.nc
aoml/1902196/profiles/R1902196_238.nc,20241222143346,-2.389,66.736,I,863,AO,20250513165001,2024-12-22 14:33:46,https://data-argo.ifremer.fr/dac/aoml/1902196/profiles/R1902196_238.nc
coriolis/1902757/profiles/R1902757_004.nc,20250427225700,22.115,60.409,I,844,IF,20250507075642,2025-04-27 22:57:00,https://data-argo.ifremer.fr/dac/coriolis/1902757/profiles/R1902757_004.nc
csio/2902764/profiles/R2902764_203.nc,20250703234152,3.354,83.817,I,841,HZ,20250704001100,2025-07-03 23:41:52,https://data-argo.ifremer.fr/dac/csio/2902764/profiles/R2902764_203.nc
incois/2903892/profiles/D2903892_038.nc,20240927140753,13.1,84.05,I,844,IN,20250526110458,2024-09-27 14:07:53,https://data-argo.ifremer.fr/dac/incois/2903892/profiles/D2903892_038.nc
incois/6990614/profiles/D6990614_034.nc,20241227134047,-3.583,62.083,I,844,IN,20250526045638,2024-12-27 13:40:47,https://data-argo.ifremer.fr/dac/incois/6990614/profiles/D6990614_034.nc
incois/7901126/profiles/D7901126_049.nc,20250113140633,10.633,88.033,I,844,IN,20250525174455,2025-01-13 14:06:33,https://data-argo.ifremer.fr/dac/incois/7901126/profiles/D7901126_049.nc
coriolis/6903150/profiles/R6903150_091.nc,20250214194820,0.11,65.749,I,844,IF,20250307063939,2025-02-14 19:48:20,https://data-argo.ifremer.fr/dac/coriolis/6903150/profiles/R6903150_091.nc
incois/6990609/profiles/R6990609_063.nc,20250603140053,10.25,89.033,I,844,IN,20250604003038,2025-06-03 14:00:53,https://data-argo.ifremer.fr/dac/incois/6990609/profiles/R6990609_063.nc
aoml/2903146/profiles/R2903146_047.nc,20250303151452,-6.631,66.582,I,854,AO,20250314023031,2025-03-03 15:14:52,https://data-argo.ifremer.fr/dac/aoml/2903146/profiles/R2903146_047.nc
aoml/3902659/profiles/R3902659_003.nc,20250515194346,-11.187,64.811,I,869,AO,20250529223430,2025-05-15 19:43:46,https://data-argo.ifremer.fr/dac/aoml/3902659/profiles/R3902659_003.nc
incois/2902273/profiles/R2902273_200.nc,20241015091027,18.015,67.312,I,846,IN,20241015153525,2024-10-15 09:10:27,https://data-argo.ifremer.fr/dac/incois/2902273/profiles/R2902273_200.nc
incois/1902673/profiles/D1902673_040.nc,20241119140705,12.9,69.267,I,844,IN,20250526151519,2024-11-19 14:07:05,https://data-argo.ifremer.fr/dac/incois/1902673/profiles/D1902673_040.nc
incois/5907085/profiles/D5907085_047.nc,20250129140725,8.683,68.317,I,844,IN,20250526064247,2025-01-29 14:07:25,https://data-argo.ifremer.fr/dac/incois/5907085/profiles/D5907085_047.nc
coriolis/4903793/profiles/D4903793_002.nc,20241101002920,6.157,91.031,I,844,IF,20250530133542,2024-11-01 00:29:20,https://data-argo.ifremer.fr/dac/coriolis/4903793/profiles/D4903793_002.nc
coriolis/6903059/profiles/R6903059_463.nc,20241118074630,19.91,60.988,I,844,IF,20250523103028,2024-11-18 07:46:30,https://data-argo.ifremer.fr/dac/coriolis/6903059/profiles/R6903059_463.nc
incois/1902670/profiles/R1902670_066.nc,20250707140351,7.533,82.233,I,844,IN,20250708003051,2025-07-07 14:03:51,https://data-argo.ifremer.fr/dac/incois/1902670/profiles/R1902670_066.nc
incois/7902243/profiles/R7902243_022.nc,20250624135733,-2.433,80.583,I,844,IN,20250625003014,2025-06-24 13:57:33,https://data-argo.ifremer.fr/dac/incois/7902243/profiles/R7902243_022.nc
aoml/5902490/profiles/R5902490_434.nc,20250524154600,-15.019,100.073,I,853,AO,20250525140155,2025-05-24 15:46:00,https://data-argo.ifremer.fr/dac/aoml/5902490/profiles/R5902490_434.nc
aoml/2903434/profiles/R2903434_045.nc,20250704040454,11.606,85.803,I,854,AO,20250714120107,2025-07-04 04:04:54,https://data-argo.ifremer.fr/dac/aoml/2903434/profiles/R2903434_045.nc
incois/6990617/profiles/R6990617_055.nc,20250712140520,-13.633,84.633,I,844,IN,20250713003236,2025-07-12 14:05:20,https://data-argo.ifremer.fr/dac/incois/6990617/profiles/R6990617_055.nc
aoml/1901843/profiles/R1901843_306.nc,20250303162335,-17.783,57.647,I,853,AO,20250528223203,2025-03-03 16:23:35,https://data-argo.ifremer.fr/dac/aoml/1901843/profiles/R1901843_306.nc
aoml/5902490/profiles/R5902490_445.nc,20250603011800,-15.495,99.331,I,853,AO,20250604140252,2025-06-03 01:18:00,https://data-argo.ifremer.fr/dac/aoml/5902490/profiles/R5902490_445.nc
aoml/1902191/profiles/R1902191_266.nc,20250807193601,-13.637,51.839,I,863,AO,20250807223136,2025-08-07 19:36:01,https://data-argo.ifremer.fr/dac/aoml/1902191/profiles/R1902191_266.nc
incois/2903951/profiles/R2903951_013.nc,20250501133200,-3.875,81.616,I,836,IN,20250501150137,2025-05-01 13:32:00,https://data-argo.ifremer.fr/dac/incois/2903951/profiles/R2903951_013.nc
aoml/2903466/profiles/R2903466_066.nc,20250416032448,-0.885,75.301,I,869,AO,20250416070111,2025-04-16 03:24:48,https://data-argo.ifremer.fr/dac/aoml/2903466/profiles/R2903466_066.nc
aoml/5902491/profiles/R5902491_295.nc,20241102091121,-16.853,90.455,I,853,AO,20241112100043,2024-11-02 09:11:21,https://data-argo.ifremer.fr/dac/aoml/5902491/profiles/R5902491_295.nc
aoml/2903149/profiles/R2903149_053.nc,20250428125511,12.189,63.521,I,854,AO,20250508223257,2025-04-28 12:55:11,https://data-argo.ifremer.fr/dac/aoml/2903149/profiles/R2903149_053.nc
aoml/2903464/profiles/R2903464_076.nc,20250810221240,3.584,76.832,I,869,AO,20250811020229,2025-08-10 22:12:40,https://data-argo.ifremer.fr/dac/aoml/2903464/profiles/R2903464_076.nc
incois/6990715/profiles/R6990715_007.nc,20250511000926,9.633,67.367,I,844,IN,20250511023016,2025-05-11 00:09:26,https://data-argo.ifremer.fr/dac/incois/6990715/profiles/R6990715_007.nc
coriolis/6903031/profiles/R6903031_082.nc,20250116224300,-5.467,51.165,I,838,IF,20250307232906,2025-01-16 22:43:00,https://data-argo.ifremer.fr/dac/coriolis/6903031/profiles/R6903031_082.nc
aoml/1902198/profiles/R1902198_234.nc,20241115181711,6.851,83.078,I,863,AO,20241115200048,2024-11-15 18:17:11,https://data-argo.ifremer.fr/dac/aoml/1902198/profiles/R1902198_234.nc
aoml/2903136/profiles/R2903136_095.nc,20250705235427,-4.28,89.144,I,854,AO,20250716070918,2025-07-05 23:54:27,https://data-argo.ifremer.fr/dac/aoml/2903136/profiles/R2903136_095.nc
incois/7901125/profiles/R7901125_072.nc,20250830140705,12.633,91.017,I,844,IN,20250831003504,2025-08-30 14:07:05,https://data-argo.ifremer.fr/dac/incois/7901125/profiles/R7901125_072.nc
aoml/1902054/profiles/D1902054_167.nc,20250121051726,-13.216,94.872,I,853,AO,20250708044410,2025-01-21 05:17:26,https://data-argo.ifremer.fr/dac/aoml/1902054/profiles/D1902054_167.nc
coriolis/6903138/profiles/R6903138_327.nc,20250322225330,10.703,55.08,I,844,IF,20250322234234,2025-03-22 22:53:30,https://data-argo.ifremer.fr/dac/coriolis/6903138/profiles/R6903138_327.nc
aoml/1902285/profiles/D1902285_105.nc,20241107121203,-1.891,65.632,I,863,AO,20250221143806,2024-11-07 12:12:03,https://data-argo.ifremer.fr/dac/aoml/1902285/profiles/D1902285_105.nc
incois/6990678/profiles/R6990678_017.nc,20250503141157,2.65,79.517,I,844,IN,20250505090801,2025-05-03 14:11:57,https://data-argo.ifremer.fr/dac/incois/6990678/profiles/R6990678_017.nc
aoml/1902624/profiles/R1902624_002.nc,20250411131203,-3.043,94.359,I,853,AO,20250412140302,2025-04-11 13:12:03,https://data-argo.ifremer.fr/dac/aoml/1902624/profiles/R1902624_002.nc
incois/6990618/profiles/D6990618_044.nc,20250331135650,-13.467,75.0,I,844,IN,20250526040950,2025-03-31 13:56:50,https://data-argo.ifremer.fr/dac/incois/6990618/profiles/D6990618_044.nc
incois/7902249/profiles/R7902249_016.nc,20250607140704,10.6,84.65,I,844,IN,20250608003245,2025-06-07 14:07:04,https://data-argo.ifremer.fr/dac/incois/7902249/profiles/R7902249_016.nc
csio/2902773/profiles/D2902773_186.nc,20250121052830,-6.384,81.27,I,841,HZ,20250529071828,2025-01-21 05:28:30,https://data-argo.ifremer.fr/dac/csio/2902773/profiles/D2902773_186.nc
incois/2902306/profiles/D2902306_024.nc,20241223213606,19.23,65.478,I,846,IN,20250509105021,2024-12-23 21:36:06,https://data-argo.ifremer.fr/dac/incois/2902306/profiles/D2902306_024.nc
csiro/5905529/profiles/R5905529_082.nc,20250208085420,-13.875,89.348,I,844,CS,20250208123417,2025-02-08 08:54:20,https://data-argo.ifremer.fr/dac/csiro/5905529/profiles/R5905529_082.nc
aoml/1902196/profiles/R1902196_247.nc,20250322152530,-3.07,66.434,I,863,AO,20250513165004,2025-03-22 15:25:30,https://data-argo.ifremer.fr/dac/aoml/1902196/profiles/R1902196_247.nc
csiro/5905213/profiles/R5905213_260.nc,20241219204028,-13.926,113.893,I,869,CS,20241220003300,2024-12-19 20:40:28,https://data-argo.ifremer.fr/dac/csiro/5905213/profiles/R5905213_260.nc
coriolis/7901003/profiles/R7901003_093.nc,20250406203340,-10.02,47.737,I,878,IF,20250406212708,2025-04-06 20:33:40,https://data-argo.ifremer.fr/dac/coriolis/7901003/profiles/R7901003_093.nc
